service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;Jours validité;commentaires;;;;;;;;;;;;;;;;;;
ASCESC-2-127;1;1;1;1;1;1;1;20230826;20240901;1111111;;;;;;;;;;;;;;;;;;;
EL_BL-2-24;0;0;0;1;1;0;0;20231023;20240830;0001100;;;;;;;;;;;;;;;;;;;
EL_BL-2-31;1;1;1;1;1;0;0;20231023;20240830;1111100;;;;;;;;;;;;;;;;;;;
EL_BL-2-31$EL_JA-2-31$EL_RO-2-31;1;1;1;1;1;0;0;20230904;20240830;1111100;;;;;;;;;;;;;;;;;;;
EL_JA-2-31;1;1;1;1;1;0;0;20231226;20240824;1111100;;;;;;;;;;;;;;;;;;;
EL_JA-2-56;0;0;0;1;1;1;0;20231226;20240824;0001110;;;;;;;;;;;;;;;;;;;
EL_JA-2-63;1;1;1;1;1;1;0;20231226;20240824;1111110;;;;;;;;;;;;;;;;;;;
EL_MV-2-32;0;0;0;0;0;1;0;20230909;20240831;0000010;;;;;;;;;;;;;;;;;;;
EL_PS-2-27;1;1;0;1;1;0;0;20230904;20240705;1101100;;;;;;;;;;;;;;;;;;;
EL_PS-2-31;1;1;1;1;1;0;0;20230904;20240705;1111100;;;;;;;;;;;;;;;;;;;
EL_PS-2-4;0;0;1;0;0;0;0;20230904;20240705;0010000;;;;;;;;;;;;;;;;;;;
EL_RO-2-24;0;0;0;1;1;0;0;20230904;20240621;0001100;;;;;;;;;;;;;;;;;;;
EL_RO-2-27;1;1;0;1;1;0;0;20230904;20240621;1101100;;;;;;;;;;;;;;;;;;;
EL_RO-2-31;1;1;1;1;1;0;0;20230904;20240621;1111100;;;;;;;;;;;;;;;;;;;
EL_RO-2-4;0;0;1;0;0;0;0;20230904;20240621;0010000;;;;;;;;;;;;;;;;;;;
EL_TAD-2-63;1;1;1;1;1;1;0;20220824;20240705;1111110;;;;;;;;;;;;;;;;;;;
EL_VE-2-127;1;1;1;1;1;1;1;20230910;20240623;1111111;;;;;;;;;;;;;;;;;;;
FILOR-2-63;1;1;1;1;1;1;0;20220824;20240622;1111110;;;;;;;;;;;;;;;;;;;
HANGA-2-27;1;1;0;1;1;0;0;20220901;20240705;1101100;;;;;;;;;;;;;;;;;;;
HANGA-2-31;1;1;1;1;1;0;0;20220901;20240705;1111100;;;;;;;;;;;;;;;;;;;
HANGA-2-4;0;0;1;0;0;0;0;20220901;20240705;0010000;;;;;;;;;;;;;;;;;;;
HANGA-2-63;1;1;1;1;1;1;0;20220901;20240705;1111110;;;;;;;;;;;;;;;;;;;
IN26_J-2-63;1;1;1;1;1;1;0;20230902;20240831;1111110;;;;;;;;;;;;;;;;;;;
IN26_R-2-31;1;1;1;1;1;0;0;20230828;20240830;1111100;;;;;;;;;;;;;;;;;;;
IN30_B-2-31;1;1;1;1;1;0;0;20221024;20240308;1111100;;;;;;;;;;;;;;;;;;;
IN30_J-2-63;1;1;1;1;1;1;0;20240427;20240831;1111110;;;;;;;;;;;;;;;;;;;
IN30_M-2-32;0;0;0;0;0;1;0;20230902;20240420;0000010;;;;;;;;;;;;;;;;;;;
