stop_id;stop_code;stop_name;stop_lat;stop_lon;location_type;parent_station;wheelchair_boarding
08MAI;;Place du 8-Mai;49.4240168107;1.0593587598;1;;
10001;08MAI0;Place du 8-Mai;49.423887898;1.0592748184;0;08MAI;1
10002;08MAI1;Place du 8-Mai;49.4241457234;1.0594427012;0;08MAI;1
1180R;;1180 Route des Roches;49.3263268384;1.04175302785;1;;
10003;1180R0;1180 Route des Roches;49.3262632207;1.0416858999;0;1180R;
10004;1180R1;1180 Route des Roches;49.3263904561;1.0418201558;0;1180R;
1695R;;1695 Route des Roches;49.3275963022;1.04952232165;1;;
10005;1695R0;1695 Route des Roches;49.3275334984;1.0495307695;0;1695R;
10006;1695R1;1695 Route des Roches;49.327659106;1.0495138738;0;1695R;
2249R;;2249 Route des Roches;49.32919837895;1.05566840265;1;;
10007;2249R0;2249 Route des Roches;49.3291080415;1.0556225414;0;2249R;
10008;2249R1;2249 Route des Roches;49.3292887164;1.0557142639;0;2249R;
352RR;;352 Route des Roches;49.3252038658;1.0298337608;1;;
10009;352RR0;352 Route des Roches;49.3252042565;1.0301795539;0;352RR;
10010;352RR1;352 Route des Roches;49.3252034751;1.0294879677;0;352RR;
44RRR;;44 Route des Roches;49.3328966718;1.06634781875;1;;
10011;44RRR0;44 Route des Roches;49.3328248121;1.0663495969;0;44RRR;
10012;44RRR1;44 Route des Roches;49.3329685315;1.0663460406;0;44RRR;
712RR;;712 Route des Roches;49.325725666;1.03558921785;1;;
10013;712RR0;712 Route des Roches;49.325628449;1.0353236278;0;712RR;
10014;712RR1;712 Route des Roches;49.325822883;1.0358548079;0;712RR;
12189;ABAQ1;Collège Abaquesne;49.3857893632;1.2012003672;0;;
ACHAV;;Achavanne;49.4185096274;1.1355269471;1;;
10019;ACHAV0;Achavanne;49.4185242126;1.1354129951;0;ACHAV;
10020;ACHAV1;Achavanne;49.4184950422;1.1356408991;0;ACHAV;
ADENA;;Adenauer;49.4701459714;1.1068198295;1;;
10021;ADENA0;Adenauer;49.4701570619;1.1070263363;0;ADENA;
10022;ADENA1;Adenauer;49.4701348809;1.1066133227;0;ADENA;
ADMIN;;Centre Administratif;49.4064279971;1.05090232925;1;;
10023;ADMIN0;Centre Administratif;49.4063141811;1.050760621;0;ADMIN;1
10024;ADMIN1;Centre Administratif;49.4065418131;1.0510440375;0;ADMIN;1
ADRET;;Stade Jean Adret;49.406015102725;1.097902298325;1;;
13033;ADRET1;Stade Jean Adret;49.405828791;1.0978582912;0;ADRET;1
