route_id;service_id;trip_id;trip_headsign;direction_id;block_id;wheelchair_accessible;bikes_allowed;route_short_names;Jours validité
92;T23_RO-2-31;0;Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE;1;;;;T2;1111100
92;T23_RO-2-31;1;Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE;1;;;;T2;1111100
92;T23_RO-2-31;10;Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE;1;;;;T2;1111100
92;T23_RO-2-31;100;Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE;1;;;;T2;1111100
93;T23_MV-2-32;1000;Monet CANTELEU;1;;;;T3;0000010
402;ASCESC-2-127;10000;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10001;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10002;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10003;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10004;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10005;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10006;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10007;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10008;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10009;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_MV-2-32;1001;Monet CANTELEU;1;;;;T3;0000010
402;ASCESC-2-127;10010;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10011;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10012;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10013;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10014;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10015;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10016;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10017;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10018;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10019;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_MV-2-32;1002;Monet CANTELEU;1;;;;T3;0000010
402;ASCESC-2-127;10020;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10021;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10022;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10023;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10024;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10025;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10026;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10027;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10028;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10029;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_VE-2-127;1003;Monet CANTELEU;1;;;;T3;1111111
402;ASCESC-2-127;10030;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10031;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10032;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10033;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10034;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10035;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10036;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10037;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10038;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10039;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_VE-2-127;1004;Monet CANTELEU;1;;;;T3;1111111
402;ASCESC-2-127;10040;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10041;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10042;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10043;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10044;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10045;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10046;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10047;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10048;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10049;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_VE-2-127;1005;Monet CANTELEU;1;;;;T3;1111111
402;ASCESC-2-127;10050;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10051;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10052;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10053;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10054;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10055;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10056;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10057;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10058;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10059;Escalator Quai Station PDJ;0;;;;402;1111111
93;T23_VE-2-127;1006;Monet CANTELEU;1;;;;T3;1111111
402;ASCESC-2-127;10060;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10061;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10062;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10063;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10064;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10065;Escalator Quai Station PDJ;0;;;;402;1111111
402;ASCESC-2-127;10066;Escalator Quai Station PDJ;0;;;;402;1111111
